name	x	y	z	size	group	hemisphere	WM	SOZ	EZ
E01	28.52	-19.989832	1.09999999999999	5.027	E	R	0	0	0
E02	31.99	-20.089832	1.52	5.027	E	R	0	0	0
E03	35.46	-20.179832	1.93000000000001	5.027	E	R	0	0	0
E04	38.94	-20.279832	2.34999999999999	5.027	E	R	0	0	0
E05	42.41	-20.379832	2.77	5.027	E	R	0	0	0
E06	45.88	-20.479832	3.19	5.027	E	R	1	0	0
E07	49.36	-20.579832	3.59999999999999	5.027	E	R	1	0	0
E08	52.83	-20.679832	4.02	5.027	E	R	0	0	0
E09	56.3	-20.769832	4.44	5.027	E	R	0	0	0
E10	59.78	-20.869832	4.86	5.027	E	R	0	0	0
E11	63.25	-20.969832	5.27	5.027	E	R	0	0	0
E12	66.73	-21.069832	5.69	5.027	E	R	0	0	0
F01	30.76	-21.979832	-0.870000000000005	5.027	F	R	0	0	0
F02	33.78	-22.079832	0.890000000000001	5.027	F	R	0	0	0
F03	36.8	-22.169832	2.66	5.027	F	R	0	0	0
F04	39.82	-22.259832	4.42	5.027	F	R	0	0	0
F05	42.84	-22.349832	6.18000000000001	5.027	F	R	0	0	0
F08	51.91	-22.629832	11.47	5.027	F	R	0	0	0
F09	54.93	-22.719832	13.24	5.027	F	R	0	0	0
F10	57.95	-22.809832	15	5.027	F	R	0	0	0
F11	60.98	-22.909832	16.76	5.027	F	R	0	0	0
F12	64	-22.999832	18.53	5.027	F	R	0	0	0
L01	9.84999999999999	-33.689832	11.64	5.027	L	R	0	0	0
L02	12.85	-35.499832	11.7	5.027	L	R	0	0	0
L03	15.84	-37.309832	11.76	5.027	L	R	0	0	0
L04	18.84	-39.119832	11.82	5.027	L	R	0	0	0
L05	21.84	-40.919832	11.88	5.027	L	R	0	0	0
L06	24.83	-42.729832	11.94	5.027	L	R	0	0	0
L07	27.83	-44.539832	12	5.027	L	R	0	0	0
L08	30.83	-46.339832	12.06	5.027	L	R	0	0	0
L09	33.82	-48.149832	12.12	5.027	L	R	1	0	0
L10	36.82	-49.959832	12.18	5.027	L	R	1	0	0
L11	39.82	-51.769832	12.24	5.027	L	R	0	0	0
L12	42.81	-53.569832	12.3	5.027	L	R	0	0	0
L13	45.81	-55.379832	12.36	5.027	L	R	0	0	0
L14	48.81	-57.189832	12.42	5.027	L	R	0	0	0
L15	51.8	-58.989832	12.48	5.027	L	R	0	0	0
K01	13.47	-44.589832	18.63	5.027	K	R	0	0	0
K02	16.95	-44.909832	18.78	5.027	K	R	0	0	0
K03	20.43	-45.239832	18.94	5.027	K	R	0	0	0
K04	23.91	-45.559832	19.09	5.027	K	R	0	0	0
K05	27.4	-45.879832	19.24	5.027	K	R	0	0	0
K09	41.32	-47.169832	19.85	5.027	K	R	1	0	0
K10	44.81	-47.489832	20	5.027	K	R	0	0	0
K11	48.29	-47.819832	20.15	5.027	K	R	0	0	0
K12	51.77	-48.139832	20.3	5.027	K	R	0	0	0
K13	55.25	-48.459832	20.45	5.027	K	R	0	0	0
K14	58.73	-48.789832	20.6	5.027	K	R	0	0	0
K15	62.21	-49.109832	20.75	5.027	K	R	0	0	0
Y01	35.98	-0.0598320000000001	10.54	5.027	Y	R	0	0	0
Y02	35.82	-1.729832	13.62	5.027	Y	R	0	0	0
Y03	35.65	-3.389832	16.69	5.027	Y	R	0	0	0
Y04	35.49	-5.059832	19.76	5.027	Y	R	0	0	0
Y05	35.33	-6.719832	22.84	5.027	Y	R	0	0	0
Y06	35.16	-8.389832	25.91	5.027	Y	R	0	0	0
Y07	35	-10.049832	28.99	5.027	Y	R	0	0	0
Y08	34.83	-11.719832	32.06	5.027	Y	R	0	0	0
Y09	34.67	-13.379832	35.14	5.027	Y	R	0	0	0
Y10	34.51	-15.049832	38.21	5.027	Y	R	0	0	0
