name	x	y	z	size	group	hemisphere	WM	SOZ	EZ
O'01	-5.83130799999999	28.430064	-20.91	5.027	O'	L	0	1	1
O'02	-9.171308	29.300064	-20.33	5.027	O'	L	0	1	1
O'03	-12.511308	30.160064	-19.74	5.027	O'	L	0	1	1
O'04	-15.851308	31.030064	-19.16	5.027	O'	L	0	1	1
O'12	-42.581308	37.940064	-14.47	5.027	O'	L	0	1	1
O'13	-45.921308	38.810064	-13.88	5.027	O'	L	0	1	1
A'01	-17.691308	-1.129936	-21.66	5.027	A'	L	0	0	0
A'02	-21.181308	-1.019936	-21.89	5.027	A'	L	0	0	0
A'03	-24.671308	-0.909936000000002	-22.11	5.027	A'	L	0	0	0
A'04	-28.171308	-0.799936000000002	-22.34	5.027	A'	L	0	0	0
A'08	-42.131308	-0.359936000000005	-23.24	5.027	A'	L	0	0	1
A'09	-45.621308	-0.249936000000005	-23.46	5.027	A'	L	0	0	1
A'10	-49.111308	-0.139936000000006	-23.68	5.027	A'	L	0	0	1
A'11	-52.601308	-0.0299360000000064	-23.91	5.027	A'	L	0	0	1
A'12	-56.091308	0.080063999999993	-24.13	5.027	A'	L	0	0	1
B'01	-28.131308	-13.329936	-20.21	5.027	B'	L	0	0	1
B'02	-31.571308	-12.769936	-19.84	5.027	B'	L	0	0	1
B'03	-35.001308	-12.219936	-19.46	5.027	B'	L	1	0	1
B'08	-52.181308	-9.42993600000001	-17.61	5.027	B'	L	0	0	1
B'09	-55.611308	-8.879936	-17.23	5.027	B'	L	0	0	1
B'10	-59.051308	-8.319936	-16.86	5.027	B'	L	0	0	1
F'01	-25.281308	-27.319936	-21.71	5.027	F'	L	0	0	1
F'02	-28.771308	-27.319936	-21.42	5.027	F'	L	1	0	1
F'03	-32.251308	-27.309936	-21.12	5.027	F'	L	1	0	1
F'07	-46.211308	-27.279936	-19.95	5.027	F'	L	0	0	1
F'08	-49.691308	-27.279936	-19.66	5.027	F'	L	0	0	1
F'09	-53.181308	-27.269936	-19.37	5.027	F'	L	1	0	1
F'10	-56.671308	-27.259936	-19.07	5.027	F'	L	0	0	1
F'11	-60.161308	-27.259936	-18.78	5.027	F'	L	0	0	1
L'01	-21.941308	-42.869936	-14.97	5.027	L'	L	0	0	0
L'02	-25.411308	-43.279936	-15.19	5.027	L'	L	0	0	0
